"Informazioni cronologiche","What is your gender?","How old are you?","Where are you from?","Which ethnic group do you identify with?","What is your religion?","Have you ever experienced any form of racism?","Do you consider yourself a feminist?","What do you think about gender inequality?","Do you think that the veil that most Muslim women wear is a symbol of submission?","Do you think that the veil that Catholic nuns wear is a symbol of submission?","Could you briefly explain your answer to the previous two questions? ","Some modern feminist movements use nudity to protest against patriarchy and to show the independence of women.  What is your opinion about it?","Do you think that feminism has ever been used or could be used by Western powers as a justification for their nationalistic, imperialistic and economic purposes?","Are you familiar with the terms ""White feminism"" and ""Transnational feminism""?","Do you feel represented by today's feminism? "
"2020/05/24 12:32:46 PM EET","Male","18-29","Germany","White","Christian (Protestant)","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","Muslim veils could be considered as submissive, if it's being worn by force, e.g. by their husbants. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No",""
"2020/05/24 12:46:34 PM EET","Female","18-29","Georgia","White","მარლთმადიდებელი","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","yes","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 12:56:02 PM EET","Female","18-29","Georgia","White","Christian (Protestant)","No","Yes","I don't know","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 1:05:31 PM EET","Female","18-29","Russia","White","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/24 1:17:50 PM EET","Other","18-29","United States","Latino","Spiritist","I don't know","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","I think humans and most animals organize themselves in hierarchies - these hierarchies allow us to produce valuable things and organize our cultures. These hierarchies also sometimes become too rigid and tyrannical. We need to keep updating them in order to reduce the suffering created by this rigidity and tyranny . That doesn’t mean all hierarchies are purely tyrannical or oppressive.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","No"
"2020/05/24 1:33:24 PM EET","Male","18-29","Turkey","White","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are",""
"2020/05/24 1:46:38 PM EET","Male","18-29","Ecuador","Latino","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No",""
"2020/05/24 2:08:47 PM EET","Male","18-29","Spain","Latino","Not religious","Yes","Yes","I don't know","I don't know","I don't know","","I don't know","I don't know","Yes, I know exactly what they are","Yes, completely"
"2020/05/24 2:18:10 PM EET","Male","18-29","Spain","Latino","Roman Catholic","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","It depends if the culture and opinion of the person who wear it","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","Yes, I know exactly what they are",""
"2020/05/24 2:18:25 PM EET","Male","18-29","Italy","White","Not religious","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","I think it’s not a matter of submission, but it’s because of the religion they believe in","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 2:19:47 PM EET","Male","18-29","Spain","White","Not religious","Yes","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 2:38:56 PM EET","Female","18-29","Thailand","Asian","Buddhism","Yes","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","I don’t know exactly the meaning of both but as I would assume they may have the rational belief behind their action of having those veils.","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","No"
"2020/05/24 2:45:48 PM EET","Male","18-29","Spain","White","Christian (Protestant)","Yes","No","I don't know","I don't know","I don't know","","I don't know","I don't know","No","No"
"2020/05/24 3:13:49 PM EET","Female","18-29","Ecuador","Latino","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","Yes, I know exactly what they are","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/24 3:28:28 PM EET","Female","18-29","Italy","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 3:40:29 PM EET","Female","18-29","Ecuador","Latino","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/24 3:51:50 PM EET","Female","18-29","France","White","Not religious","No","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","I feel like the veil for Catholic nuns is a proof for them that they are giving their life to God, but for Muslim women, I feel like it  an sometimes be for religious reason, but sometimes it is because they are forced and are just obeing to men and their thoughts of what a women can do/show/say/... sometimes it seems that it is a way to control women's body","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/24 3:54:05 PM EET","Male","18-29","United States","Latino","Not religious","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","As someone who is not religious I can see how someone may think the veils can be seen as a symbol of submission, but on the other hand someone who believes in the religion and its teachings may see the veils as a formality and simply a part of the religion. ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No",""
"2020/05/24 4:01:30 PM EET","Female","18-29","Germany","White","Christian (Protestant)","Yes","Yes","I don't know","I don't know","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No","Partially"
"2020/05/24 4:09:00 PM EET","Female","18-29","Turkey","White","Muslim","I don't know","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","It depends on the point of view in both religions. There’s not one single perspective","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 4:13:46 PM EET","Male","18-29","France","White","Christian (Protestant)","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","I don't know","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No",""
"2020/05/24 4:21:40 PM EET","Female","18-29","France","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","Women wear what she want ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Yes, completely"
"2020/05/24 4:27:53 PM EET","Male","18-29","France","White","Roman Catholic","I don't know","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","Muslim may be forced to wear it but nuns must do it willingly ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","No",""
"2020/05/24 4:43:10 PM EET","Female","18-29","France","White","Christian (Protestant)","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","In most of the times, the women themselves choose to wear the veil.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Yes, completely"
"2020/05/24 5:18:31 PM EET","Male","50-69","United States","White","Christian (Protestant)","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","I don't know","I don’t know enough about their religion to form an opinion. ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","I might have heard of them but I don't really know what they are",""
"2020/05/24 5:20:39 PM EET","Male","50-69","United States","Latino","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","Some people submit to their faith not thinking that it is an act of submission. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No",""
"2020/05/24 5:22:09 PM EET","Male","50-69","United States","White","Christian (Protestant)","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","I don't know","I don’t know enough about their religion to form an opinion. ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","I might have heard of them but I don't really know what they are",""
"2020/05/24 6:18:25 PM EET","Female","18-29","Kazakhstan","Asian","Muslim","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","I do not think that the veil is a symbol of submission. It's just a tribute to religion","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 6:18:26 PM EET","Female","18-29","Vietnam","Asian","Not religious","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","I don't know","I don't know","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/24 6:30:25 PM EET","Male","30-49","Jersey","White","Not religious","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","No","No","","I think that it's their right to use their body to protest, and I believe that they are right when they say that women that cover themselves for religious reasons can't be feminists","No, I don't see how this could happen","No",""
"2020/05/24 6:32:09 PM EET","Female","30-49","Latvia","White","Lutheran","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","It depends","-","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 6:42:24 PM EET","Female","18-29","Japan","Asian","Not religious","No","I don't know","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","I don't know","I don't know","I’m sorry, but I’m not familiar with any religion. I regarded their veil just as customs or traditions, so I’ve never linked it with the idea of feminism or submission.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No","Partially"
"2020/05/24 6:50:32 PM EET","Female","18-29","France","Asian","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 6:55:40 PM EET","Female","18-29","Italy","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","No","Partially"
"2020/05/24 7:11:22 PM EET","Other","18-29","Cambodia","Asian","Christian (Protestant)","I don't know","Yes","I don't know","It depends","No","Well in some countries the veil is forced upon woman, whereas for the nun veil, it's something that only nuns wear, not all woman, so they know what they are going through","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are",""
"2020/05/24 7:17:31 PM EET","Male","18-29","Italy","Arab","Orthodox","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","I think that they want to follow their religion without any submission","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are",""
"2020/05/24 7:24:53 PM EET","Female","18-29","Greece","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","It depends on the country, the social background, the circumstances of the woman herself. I believe that wearing the veil was dictated by religion (both Islam and Christianity) to demand submission to God and to the husband. Woman had to be the one who is not shown, a possession of a man only to stay at home and raise children. Nowadays that changed as the majority of countries don't require a woman to wear a veil, even if it's a strong societal habit, and most women who choose to do it usually do it because of ""respect"". Respect to themselves, to God, to the family and the men. And having the choice to do so is amazing but yet again we should consider; isn't respect a more political correct word for submission? Haven't centuries of cultural evolution, strong patriarchal societies and gender inequalities formed this perception that wearing more clothing, even wearing a veil renders you as a woman who does not provoke and therefore a better woman...? In any way I'm fully 100% supportive of the right of every woman to choose for herself but it's a fact that culture is so fully rooted in ourselves that a choice can be subconsciously dictated to us by others.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Yes, completely"
"2020/05/24 7:28:38 PM EET","Female","18-29","Georgia","White","Orthodox Christian","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","I don't know","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","No","Partially"
"2020/05/24 7:34:54 PM EET","Male","18-29","Italy","White","Atheist","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","It's about culture and tradition more than inequality","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","No"
"2020/05/24 7:39:31 PM EET","Female","18-29","Georgia","White","Orthodox","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/24 7:43:04 PM EET","Female","18-29","Greece","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","I believe that both are a symbol of sumbission, in the sense that they are taught to believe by the system that this is the most respectable, ethical thing to do. That if they show their hair for example then that's less honorable. In my opinion your value as a person and whether you are honorable has nothing to do with what you wear, and it has everything to do with your actions, the way you walk on this earth. Of course it also is a part of tradition, which changes from place to place, but the question is why this tradition exists, that criticises women based on what they show, and if we should continue endorsing this tradition today. It's very much connected with other issues, that all have to do with what you do with your body. For example in some places it's considered less honorable if you're a woman who is sexually active, and it's considered as ""the right thing to do"" either to have very few experiences, or to ""save yourself for marriage"" altogether. So as I've said beforehand, for me your honor and value is based on your inner self, not the choices you make about your appearance.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 7:46:44 PM EET","Female","18-29","Russia","White","Orthodox Christian ","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","It is a symbol of submission because men do not have to wear it, which is because they are considered to be directly bellow god, while a woman is bellow a man and only through him she is bellow god.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/24 7:51:44 PM EET","Female","18-29","Georgia","White","Christian (Protestant)","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","No","No","","I think that it's their right to use their body to protest, and I believe that they are right when they say that women that cover themselves for religious reasons can't be feminists","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 7:56:14 PM EET","Female","18-29","Italy","White","Roman Catholic","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","Both the answers to those questions are based upon a woman’s approval.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No","Partially"
"2020/05/24 7:56:45 PM EET","Male","18-29","United States","White","Not religious","I don't know","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","I think in the first one it's used as a device to keep women at a lower place in society than men. For nuns, I think it's only used to take away all their sexuality. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No",""
"2020/05/24 7:56:55 PM EET","Female","18-29","Georgia","White","Christian Orthodox ","No","Yes","I don't know","Yes","Yes","its their religion that forces them","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/24 8:00:15 PM EET","Female","18-29","Georgia","White","Prefer not to say","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","I don't know","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","Yes, I know exactly what they are","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/24 8:00:31 PM EET","Female","18-29","Georgia","White","ortodox christian ","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 8:02:46 PM EET","Female","18-29","Georgia","caucasian","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","No","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 8:03:13 PM EET","Female","18-29","Georgia","White","Christian Orthodox ","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","Yes, I know exactly what they are","Partially"
"2020/05/24 8:06:00 PM EET","Female","18-29","Italy","White","Roman Catholic","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 8:06:11 PM EET","Female","30-49","Georgia","White","Christian (Protestant)","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","I don't know","I don't know","i have no idea what the veils woman wear is nessesary for🙄 ","I think that it's their right to use their body to protest, and I believe that they are right when they say that women that cover themselves for religious reasons can't be feminists","No, I don't see how this could happen","No","Yes, completely"
"2020/05/24 8:06:18 PM EET","Male","18-29","Italy","White","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","No","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are",""
"2020/05/24 8:09:47 PM EET","Female","18-29","Georgia","White","Christian orthodox","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","I'm not really educated on the subject of muslim women wearing veils, but i have an impression that some of them have to do it because of social norms/culture or oppressive male figures. On the other hand, women choose (and are not obliged since adolescence)  to become catholic nuns and wear veils. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 8:09:52 PM EET","Male","18-29","Italy","White","Roman Catholic","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are",""
"2020/05/24 8:10:45 PM EET","Male","18-29","United States","White","Christian (Protestant)","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","It can be however I feel that it depends on how they themselves view it, if they agree with it being religious and believe in it then I don't think it's my place to say it's not","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are",""
"2020/05/24 8:14:56 PM EET","Female","18-29","Georgia","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 8:15:45 PM EET","Female","18-29","Georgia","White","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","I don't know","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/24 8:21:08 PM EET","Female","18-29","Italy","White","Not religious","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","No","Catholic nuns make the choice of wearing a veil themselves, while most women born in muslim families dont get a say in what they want to wear, and they are lucky if they can show their face. Wearing the veil must be your own choice.","Both 2 and 3","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 8:22:47 PM EET","Female","18-29","United States","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","I think both can be a form of submission of the person is being forced to wear the garment, but typically it is a choice out of love or respect to their religion/god and it is up to them ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 8:30:03 PM EET","Female","18-29","Georgia","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","I think the  tradition itself comes from
patriarchal cultures but I also feel that everyone should be able to choose what to wear and how to express themselves in a free country, If someone finds wearing the veil empowering due to their cultural background I don't have  the right to judge their decision","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","Yes, I know exactly what they are","Partially"
"2020/05/24 8:39:05 PM EET","Female","18-29","Spain","Latino","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 8:41:31 PM EET","Female","18-29","United States","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","I think “it depends” if the women are wearing the veils because they chose to or because they are being forced to. We don’t hear a lot about nuns being forced to wear the coverings but we hear a lot about both cases for Muslim women. From my perspective, it depends whether the woman chose it out of devotion to their beliefs or not","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","Yes, I know exactly what they are","Partially"
"2020/05/24 8:42:28 PM EET","Female","18-29","Italy","White","Roman Catholic","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","I don't think it's a symbol of submission if it is a free (really free!) choice of the person who wears it. For some Muslim women, the veil is a feminist choice in that they want to be appreciated and valued for their personality and brains rather than their appearance. For nuns, the whole concept of submission is more complex as all religious orders involve the concept of submission to God","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 8:49:02 PM EET","Female","18-29","Hungary","White","Roman Catholic","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","Personal beliefs, or personal stories can influence why somebody for exaple choose to be a nun,
It depeds how a woman defines her situation, but it can be also a submission ","I think that it's their right to use their body to protest, and I believe that they are right when they say that women that cover themselves for religious reasons can't be feminists","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 8:49:47 PM EET","Female","18-29","Spain","White","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","I think that they faith tells the to do that, it that it's something they have to do because their faith rules","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No","Partially"
"2020/05/24 8:52:56 PM EET","Female","18-29","United States","Latino","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","Yes","I believe it’s a submission to God in either situation and should be the choice of the wearer.","I think that it's their right to use their body to protest, and I believe that they are right when they say that women that cover themselves for religious reasons can't be feminists","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 8:53:01 PM EET","Male","18-29","Italy","White","Not religious","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","Ci sono musulmane che indossano di propria spontanea volontà il velo e altre a cui viene imposto","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are",""
