"Informazioni cronologiche","Genere:","Età","Paese di provenienza","In che gruppo etnico ti identifichi?","Qual è la tua religione?","Sei mai stato vittima di episodi di razzismo?","Ti consideri femminista?","Cosa pensi dei concetti di ""genere"" e ""disuguaglianza di genere""?","Pensi che il velo indossato dalla maggior parte delle donne musulmane sia un simbolo di sottomissione?","Pensi che il velo indossato dalle suore cattoliche sia un simbolo di sottomissione?","Puoi motivare la tua risposta alle due domande precedenti?","Alcuni gruppi femministi moderni usano la nudità per protestare contro il patriarcato e per dimostrare l'indipendenza femminile. Qual è la tua opinione a riguardo?","Pensi che il femminismo sia mai stato usato o  possa essere usato dalle potenze occidentali per giustificare i propri interessi nazionalistici, imperialistici ed economici?","Conosci i termini ""Femminismo bianco"" e ""Femminismo transnazionale""?","Ti senti rappresentata dal femminismo di oggi?"
"2020/05/23 11:08:04 PM EET","Femmina","50-69","Italy","Bianco","Cattolicesimo","No","No","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","Dipende","","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/23 11:09:59 PM EET","Femmina","18-29","Serbia","Bianco","Non sono religiosa/o","Sì","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","Sì, so perfettamente cosa sono","Parzialmente"
"2020/05/23 11:11:28 PM EET","Femmina","30-49","Italy","Bianco","Non sono religiosa/o","No","Non lo so","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","Sì","Il velo in entrambi i casi cela, nasconde, copre, da un lato, e dall'altro uniforma, come una divisa, e separa come simbolo di quella cultura, ma la libertà personale è fatta anche di espressione personale","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 11:14:08 PM EET","Femmina","30-49","Italy","Bianco","Preferisco non dirlo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","","Non lo so","Non lo so","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente sì, ma sento che alcuni dei problemi che devo affrontare a causa della mia etnia non sono presi in considerazione"
"2020/05/23 11:25:12 PM EET","Maschio","30-49","Italy","Bianco","Non sono religiosa/o","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","Le donne mussulmane indossano il velo per seguire la loro cultura, religione ci sono donne  che indossano il velo per scelta e altre che decidono di non indossarlo.. Nel secondo caso  alcune donne che decido di non indossarle vengono costrette e quindi sottomesse.. Ma non tutte le donne che lo indossano sono sottomesse... Come non tutti gli uomini sottomettono le proprie mogli figlie che decidono di non indossarlo.. Per quanto riguarda le suore credo che sia una loro scelta... Nessuno gli impone di indossarlo se non la strada che hanno deciso di percorrere.. Una puo essere una donna di chiesa anche senza farsi suora.. ","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/23 11:31:50 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","Va rispettata la simbologia religiosa dietro a questi copricapi ma è innegabile che il fatto che venga richiesto solo alle donne crea una disuguaglianza di genere. Da notare come nel cristianesimo tra l'altro coprirsi il capo anche durante le funzioni religiose fosse un dovere delle sole donne, mentre durante i momenti di preghiera per i mussulmani sia richiesto ad entrambi i sessi.","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","No","Parzialmente"
"2020/05/23 11:32:02 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","Va rispettata la simbologia religiosa dietro a questi copricapi ma è innegabile che il fatto che venga richiesto solo alle donne crea una disuguaglianza di genere. Da notare come nel cristianesimo tra l'altro coprirsi il capo anche durante le funzioni religiose fosse un dovere delle sole donne, mentre durante i momenti di preghiera per i mussulmani sia richiesto ad entrambi i sessi.","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","No","Parzialmente"
"2020/05/23 11:32:19 PM EET","Femmina","30-49","Italy","Bianco","Cattolicesimo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","Il velo indossato credo sia una tradizione","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","No","Parzialmente"
"2020/05/23 11:32:42 PM EET","Femmina","30-49","Italy","Bianco","Cattolicesimo","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Sì","No","","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 11:34:16 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","No","Penso che per le donne musulmane, nella maggior parte dei casi, sia una scelta personale, così come nel caso delle suore ","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 11:34:31 PM EET","Maschio","18-29","Italy","Bianco","Non sono religiosa/o","No","No","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","No","No","Penso che derivi da una concezione culturale che la donna si trova ad ""affrontare"" in un determinato contesto. Ogni persona che sia essa donna o uomo ha la propria idea che si integra all'ambiente circostante e agli usi e costumi dello stesso. Non lo reputo una forma di sottomissione ma più una forma di concezione, cultura, ideali tramandati nel tempo. ","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/23 11:37:23 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","No","Purtroppo si parla di due sottomissioni diverse. Molte donne islamiche lo indossano per motivi religiosi mentre altre perchè obbligate dal marito/padre ed è per questo motivo che ho selezionato ‘dipende’: nel momento in cui una donna decide di indossare il velo spontaneamente non vedo alcun problema o alcuna forma di sottomissione. 
Le suore non sono sottomesse a una figura patriarcale, ma alle regole religiose radicali alle quali loro stesse hanno deciso di aderire. ","Non lo so","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/23 11:41:02 PM EET","Maschio","18-29","Italy","Bianco","Non sono religiosa/o","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","Sì","Entrambe portano il velo perché ciò è dettato dal loro amico immaginario. I maschi si sono da sempre serviti di queste imposizioni religiose per sottomettere le donne. ","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","No, non vedo come possa essere possibile","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/23 11:41:05 PM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","Per le donne mussulmane il velo è simbolo di sottomissione se non deriva da una libera scelta, ma nel caso una donna scelga di indossarlo non è sottomessa. La stessa cosa per le suore","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","Sì, so perfettamente cosa sono","Parzialmente"
"2020/05/23 11:45:13 PM EET","Femmina","50-69","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","Sì","Imposizione non scelta","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 11:45:46 PM EET","Femmina","50-69","Italy","Preferisco non dirlo","Cattolicesimo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","Nel secondo caso è una scelta, nel primo non sempre","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","No",""
"2020/05/23 11:47:32 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","Credo sia una scelta libera. Oppure dettata dalla fede","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","Sì, so perfettamente cosa sono","Sì, completamente"
"2020/05/23 11:52:25 PM EET","Femmina","0-17","Italy","Bianco","Cristianesimo (Protestante)","No","Non lo so","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","ognuno è libero di fare ciò che vuole, senza essere sottomesso in qualunque modo","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","No","Parzialmente sì, ma sento che alcuni dei problemi che devo affrontare a causa della mia etnia non sono presi in considerazione"
"2020/05/23 11:56:01 PM EET","Femmina","0-17","Italy","Bianco","Cattolicesimo","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","No","Le suore cattoliche indossano il velo perché risiede nel legame con lo “sposo” Dio. Ci sono anche momenti in cui possono non indossarlo. Mentre il velo indossato dalle donne mussulmane sono obbligate ad indossarlo dallo Stato o dalla famiglia.","Credo che abbiano il diritto di utilizzare il  proprio corpo per protestare e che abbiano ragione a sostenere che una donna che si copre per motivi religiosi non possa essere femminista","Non lo so","Potrei averne sentito parlare, ma non so esattamente cosa siano","Sì, completamente"
"2020/05/23 11:57:05 PM EET","Femmina","0-17","Italy","Bianco","Testimone di Geova ","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Non lo so","Non lo so","Non penso siano obbligate ad indossare il velo, è una questione religiosa. Però non so cosa potrebbe accadere se alcune non lo indossassero","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","No","Sì, completamente"
"2020/05/23 11:59:47 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","Sì","Non lo so","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","La discordanza nelle risposte conferma quanto detto precedentemente: il concetto di diseguaglianza dipende dal Paese. Dipende dai pregiudizi che abbiamo delle culture diverse.","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Non lo so","No","Parzialmente"
"2020/05/23 11:59:58 PM EET","Maschio","18-29","Italy","Veneto ","Pastafariano","No","Non lo so","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","Sì","Nessuno sano di mente indosserebbe un velo integrale o che copre parzialmente il volto in estate con 40 gradi all'ombra... ","Ognuno con il proprio corpo può fare quello che gli pare... Anche girare nudo per quanto mi riguarda (onestamente mi diverte l'idea che da un giorno all'altro potremmo tutti girare nudi come ci pare ahahahah) ","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/24 12:03:26 AM EET","Femmina","30-49","Italy","Genere umano","Cattolicesimo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","Sì","Le musulmane scelgono di metterlo invece le donne che scelgono di farsi suore mettono il velo per sottomettersi alla volontà del Signore","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","No, non vedo come possa essere possibile","No","Assolutamente no"
"2020/05/24 12:05:46 AM EET","Femmina","50-69","Italy","Bianco","Cattolicesimo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Sì","La sottomissione può essere subita o volontaria. Credo che le suore la scelgano come servizio a colui che riconoscono come Dio cosa che potrebbero fare anche le donne musulmane se si sentono libere di sceglierlo. ","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Assolutamente no"
"2020/05/24 12:07:26 AM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Sì","Sì","","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Non lo so","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/24 12:12:56 AM EET","Femmina","0-17","Italy","Bianco","Non sono religiosa/o","No","Non lo so","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Non lo so","Dovrei informarmi meglio sull'argomento e sulla religione, ma penso che essere obbligati a portare un velo non sia una cosa giusta. ","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Non lo so","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/24 12:17:55 AM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","Sì","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","Dipende da come lo considera la persona che lo indossa","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/24 12:27:35 AM EET","Femmina","0-17","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","Ognuno fa ciò che vuole ","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","Sì, so perfettamente cosa sono","Sì, completamente"
"2020/05/24 12:31:09 AM EET","Femmina","50-69","Italy","Bianco","Cattolicesimo","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","No","No","Per quanto riguarda le suore è un segno di rispetto,  ma ci sono alcuni ordini che lasciano libera scelta se indossarlo oppure no. Può darsi che anche per le donne di fede musulmana sia la stessa cosa.","Occorre libertà di scelta, ma essere molto cauti per evitare di mancare di rispetto a sé stessi ","Non lo so","No","Parzialmente"
"2020/05/24 12:48:40 AM EET","Femmina","18-29","Italy","Preferisco non dirlo","Preferisco non dirlo","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","No","No","Penso che la religione non imponga il velo come un segno di sottomissione anche se la religione può essere strumentalizzata e in questo senso si, in alcuni casi può essere simbolo di sottomissione non","Non lo so","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/24 12:51:41 AM EET","Femmina","18-29","Italy","Nero","Islam","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Non lo so","No","Parzialmente sì, ma sento che alcuni dei problemi che devo affrontare a causa della mia etnia non sono presi in considerazione"
"2020/05/24 1:05:25 AM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","Sì","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","No","Le suore hanno un ruolo diverso, non tutte le donne cattoliche devono mettere il velo per essere tali, le suore fanno una scelta che è libera, questo per me è confermato dal fatto che il percorso per diventare suora è lungo, mentre la scelta delle donne musulmane non è sempre libera, soprattutto perchè la religione musulmana è diffusa anche in paesi in cui i diritti umani e quelli delle donne non sono sempre tutelati e di conseguenza le loro scelte sono condizionate da questo.","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","No, non vedo come possa essere possibile","Sì, so perfettamente cosa sono","Parzialmente sì, ma sento che alcuni dei problemi che devo affrontare a causa della mia etnia non sono presi in considerazione"
"2020/05/24 1:11:31 AM EET","Femmina","18-29","Italy","Bianco","Cristianesimo (Protestante)","No","Non lo so","Non lo so","Dipende","Dipende","","Non lo so","Non lo so","No","Parzialmente"
"2020/05/24 1:31:25 AM EET","Maschio","18-29","Italy","Bianco","Cattolicesimo","No","No","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Sì","No","Le donne musulmane fin da piccole sono obbligate ad indossare il velo mentre le suore possono deciderlo autonomamente in età adulta","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Non lo so","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/24 1:33:06 AM EET","Maschio","18-29","Italy","Bianco","Non sono religiosa/o","No","No","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Non lo so","Non lo so","","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","No",""
"2020/05/24 1:45:26 AM EET","Maschio","18-29","Albania","Bianco","Non sono religiosa/o","Non lo so","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","No","Le donne musulmane che tengono il velo hanno avuto fin da piccole una famiglia che le ha inculcato nella testa questo uso e se fissi nella testa di un bambino di fare una cosa in un determinato modo poi da grande le sembrerà normale se non persino un dovere... ma se fossero libere fin da piccole, come nel caso italiano, di andare a catechismo o meno, allora sono quasi sicuro del 100% che nessuna di loro lo terrebbe o comunque una minima percentuale ","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/24 2:22:41 AM EET","Maschio","18-29","Italy","Bianco","Cattolicesimo","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","Nel caso dell'Islam, non mi sento di catalogare tutte le donne come sottomesse per via del velo. Si sa che l'uso del velo è una pratica religiosa estremizzata e poco interpretativa, ma ci sono donne che la svolgono convinte della loro azione.
Per il caso cattolico, invece non si può parlare di sottomissione perchè esiste una scelta personale a priori dell'utilizzo.","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Sì, so perfettamente cosa sono",""
"2020/05/24 2:22:47 AM EET","Maschio","18-29","Italy","Bianco","Cattolicesimo","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","Nel caso dell'Islam, non mi sento di catalogare tutte le donne come sottomesse per via del velo. Si sa che l'uso del velo è una pratica religiosa estremizzata e poco interpretativa, ma ci sono donne che la svolgono convinte della loro azione.
Per il caso cattolico, invece non si può parlare di sottomissione perchè esiste una scelta personale a priori dell'utilizzo.","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Sì, so perfettamente cosa sono",""
"2020/05/24 6:32:35 AM EET","Femmina","30-49","Italy","Bianco","Cattolicesimo","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","Penso che i veli per entrambi hanno di fondo un motivo religioso ","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","No","Parzialmente"
"2020/05/24 6:43:11 AM EET","Femmina","50-69","Italy","Bianco","Cattolicesimo","No","Non lo so","Non lo so","Dipende","No","Per quanto riguarda la  prima domanda credo che se si tratta di libera scelta non sia simbolo di sottomissione. Nell’Islam puoi scegliere se portare o no il velo. Spesso però la realtà è ben diversa, non si può fare nessuna scelta se non esponendosi al rischio che la scelta stessa possa creare problemi nei tuoi rapporti familiari e sociali. Per quanto riguarda la  seconda domanda, le suore cattoliche lo diventano per scelta e la scelta di appartenere ad un gruppo/ordine/associazione implica il rispetto di alcune regole che per quanto mi riguarda dovrebbero comunque essere sempre riviste ed eventualmente corrette.","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","No","Parzialmente"
"2020/05/24 6:54:34 AM EET","Femmina","30-49","Italy","Bianco","Non sono religiosa/o","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","Sì","","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/24 7:23:18 AM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","È una dimostrazione del loro credo","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","No","Parzialmente"
"2020/05/24 7:26:33 AM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Non lo so","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Sì","","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","Sì, so perfettamente cosa sono","Parzialmente"
"2020/05/24 7:27:31 AM EET","Femmina","50-69","Italy","Bianco","Cattolicesimo","No","Non lo so","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","Penso che x entrambe si tratti usi e costumi in base alla provenienza e all'appartenenza","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","No, non vedo come possa essere possibile","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/24 7:28:41 AM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","Sì","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","Dipende","Sono punti di vista","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
